Lema,POS,Frequência
qui,PRON,1366
in,ADP,1245
is,PRON,1105
sum,AUX,1099
et,CCONJ,988
ad,ADP,793
sui,PRON,710
atque,CCONJ,678
hic,DET,636
ab,ADP,592
omnis,DET,574
ex,ADP,513
res,NOUN,447
ut,SCONJ,419
quod,SCONJ,413
suus,DET,380
non,PART,370
possum,VERB,363
cum,ADP,338
magnus,ADJ,331
locus,NOUN,331
cum,SCONJ,308
facio,VERB,308
pars,NOUN,270
caesar,PROPN,267
neque,CCONJ,265
noster,DET,263
legio,NOUN,230
ipse,DET,222
de,ADP,213
civitas,NOUN,209
habeo,VERB,194
si,SCONJ,189
dies,NOUN,184
ne,SCONJ,182
quam,SCONJ,176
aut,CCONJ,176
miles,NOUN,170
mitto,VERB,164
causa,NOUN,164
unus,DET,163
exercitus,NOUN,154
idem,DET,151
finis,NOUN,145
castr,NOUN,139
ille,DET,139
castra,NOUN,138
gallia,NOUN,137
consilium,NOUN,134
proelium,NOUN,132
tempus,NOUN,132
cognosco,VERB,127
dico,VERB,127
reliquus,ADJ,125
multus,DET,123
sed,CCONJ,120
per,ADP,113
hoss,NOUN,113
flumen,NOUN,112
summus,ADJ,110
bellus,NOUN,106
tamen,ADV,102
do,VERB,102
multitudo,NOUN,101
constituo,VERB,101
video,VERB,99
utor,VERB,99
primus,ADJ,99
romanus,ADJ,98
homo,NOUN,97
equitas,NOUN,92
alius,DET,91
relinquo,VERB,91
caesaris,PROPN,90
recipio,VERB,90
quis,PRON,90
bellum,NOUN,89
numerus,NOUN,88
pro,ADP,87
inter,ADP,87
nullus,DET,86
oppidus,NOUN,86
contendo,VERB,85
opus,NOUN,83
populus,NOUN,83
superior,ADJ,83
gero,VERB,83
fuga,NOUN,82
etiam,ADV,80
hostius,NOUN,78
munitio,NOUN,78
virtus,NOUN,77
auxilium,NOUN,76
animus,NOUN,74
cogo,VERB,73
longe,ADV,73
periculum,NOUN,71
equitus,NOUN,71
milius,NOUN,70
existimo,VERB,70
transeo,VERB,70
praesidium,NOUN,69
iam,ADV,68
accipio,VERB,67
capio,VERB,67
iubeo,VERB,67
propter,ADP,67
eques,NOUN,66
ante,ADP,66
venio,VERB,66
celeriter,ADV,65
impero,VERB,65
fero,VERB,65
fio,VERB,64
vido,VERB,63
accido,VERB,62
sine,ADP,62
contineo,VERB,62
coepi,VERB,62
ubi,SCONJ,62
totus,DET,62
nam,PART,61
copus,NOUN,61
quisque,DET,60
copius,NOUN,60
hostus,NOUN,59
alter,DET,59
rhenus,NOUN,58
circiter,ADV,58
pugno,VERB,58
peto,VERB,58
ibi,ADV,58
passus,NOUN,57
ita,ADV,57
impedimentum,NOUN,56
nihil,PRON,56
proficiscor,VERB,56
provincia,NOUN,55
conficio,VERB,55
frumentum,NOUN,54
spes,NOUN,54
armus,NOUN,53
instituo,VERB,53
tantus,DET,53
tum,CCONJ,53
manus,NOUN,53
prohibeo,VERB,53
discedo,VERB,52
teneo,VERB,52
interficio,VERB,52
romanus,NOUN,52
impetus,NOUN,51
copia,NOUN,51
iter,NOUN,51
salus,NOUN,51
adduco,VERB,50
certus,ADJ,50
paucus,DET,50
pes,NOUN,50
modus,NOUN,50
oppido,NOUN,49
intellego,VERB,49
pono,VERB,49
proximus,ADJ,49
parue,ADV,49
timor,NOUN,48
signum,NOUN,48
ratio,NOUN,48
imperium,NOUN,47
quidem,PART,47
legatus,NOUN,47
adventus,NOUN,46
uterque,DET,46
contra,ADP,46
apud,ADP,46
convenio,VERB,46
absum,VERB,45
obsis,NOUN,45
acies,NOUN,45
germanis,ADJ,44
arbitror,VERB,44
sustineo,VERB,44
duco,VERB,44
pervenio,VERB,44
regio,NOUN,44
fere,ADP,43
navis,NOUN,43
appello,VERB,43
spatium,NOUN,42
autem,PART,42
committo,VERB,42
nec,CCONJ,42
vallus,NOUN,42
patior,VERB,42
post,ADP,42
impedio,VERB,42
fides,NOUN,41
ariovistus,ADJ,41
nox,NOUN,40
sub,ADP,40
aeduus,NOUN,40
annus,NOUN,39
germanus,ADJ,39
caesaris,ADJ,38
ago,VERB,38
enim,PART,38
consuetudo,NOUN,38
fortuna,NOUN,38
lego,VERB,38
itinum,NOUN,38
munio,VERB,37
genus,NOUN,37
natura,NOUN,37
demonstro,VERB,37
mons,NOUN,37
labor,NOUN,37
navus,NOUN,36
intermitto,VERB,36
concilium,NOUN,36
gallum,NOUN,36
arma,NOUN,36
auctoritas,NOUN,35
